name;sku;subtitle;description;category1;category2;category3;image;ribbon;ribbonColor;weight;price;recommended_price;quantity;enabled;shipping_freight;fixed_shipping_rate_only;shippingType;shippingMethodMarkup;shippingFlatRate;shippingDisabledMethods;shippingEnabledMethods;upc;brand;seo_title;seo_description;product_url;product_id
חזירונת מתוקונת;"00019";;"<p>החזירונת שלנו גם היא בוגרת להקת הבלט של גן החיות!</p><p>יודעת לעשות פירואט כפול שישאיר אתכם המומים!</p><p>גובהה הוא כ15 ס""מ, עשויה מ100% כותנה.</p><p>ניתן לכבס אותה במכונת הכביסה, 30-40 מעלות.</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";"עד 100 ש""ח";לאוהבים;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1646322114.jpg;;;0.00;100.0;130.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/חזירונת-מתוקונת/p/234725188;234725188
חמוריקו;"00017";;"<p>נוסטלגיה זה כאן!<br></p><p>גדלנו על הסרט ברמיינסקי מוזיקנטי ובזכות ינה החיות האהובות עלינו חזרו לחיינו! וכעת הנכדים זוכים לשחק איתן:)</p><p>גם אם אתם לא מכירים את הסרט, יש סיכוי גבוהה שתתאהבו בחמוריקו המצחיקול שלנו. יש לו את השלייקעס הכי יפים בעיר וחיוך גדול שמזכיר לנו כמה כיף זה לשחק בבובות :)</p><p>חמוריקו נסרג מ100% כותנה, ניתן לכבס במכונת הכביסה הביתית על 30-40 מעלות.</p><p>גובה הבובה הוא כ40 ס״מ</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1644050638.jpg;;;0.00;300.0;360.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/חמוריקו/p/234269829;234269829
חתולון שמח;"00015";;"<p>חתולון שובה לב, ישמח לשחק אתכם בכל משחק דמיון שתמציאו עבורו! הוא יודע לשיר ולרקוד.. ואפילו לספר בדיחות!<br></p><p>עם החתולון שלנו מומלץ להירדם בלילה במיטה, הוא ישמור עליכם ולא יעצום עין כל הלילה!</p><p>עשוי מחוטי אקריל סינטטיים, ניתן לכבס במכונת הכביסה שלכם, על 30-40 מעלות</p><p>גובה הבובה הוא כ38 ס""מ</p><p><strong><span style=""background-color: rgb(247, 150, 70);"">כרגע נגמר החוט הכתמתם, נעדכן אתכם כשיחזור למלאי</span></strong></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1650440353.jpg;;;0.00;130.0;170.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/חתולון-שמח/p/234269800;234269800
ינשופית;"00021";;"<p>הינשופית של ינה עשויה כולה מחוטי אקריל סינטטיים, נסרגת באהבה רבה בדיוק כמו כל חברותיה החיות!</p><p>כמובן הינשופית ערה הלילה וישנה ביום, אבל אל תדאגו - היא לא זקוקה ליחס מיוחד בלילה :)</p><p>כל הינשופות  והינשופים ניתנים לכביסה במכונת הכביסה שלכם, 30-40 מעלות</p><p>גובה הבובה הוא כ17 ס""מ</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1646431418.jpg;;;0.00;150.0;190.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/ינשופית/p/234731781;234731781
ינשופית מגונדרת;"00029";;"<p>יונה הינשופית היא המגונדרת שבחבורה!</p><p>היא תמיד יודעת מה שיק ומה שוק וכמובן איפה המקום הכי שווה לקנות בו בגדים לחג!</p><p>את יונה הינשופית ינהצ'קה המציאה בעצמה :)</p><p>הינשופית סרוגה מחוטי אקריל סינטטיים, ניתן לכבס אותה במכונת כביסה, 30-40 מעלות</p><p>גובה הבובה הוא כ17 ס""מ</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1652623736.jpg;;;0.00;150.0;190.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/ינשופית-מגונדרת/p/235366452;235366452
כבשה;"00022";;"<p>הכיבשה של ינה עשויה כולה מ100% כותנה, נסרגת באהבה רבה בדיוק כל חברותיה החיות!</p><p>כל הכבשים ניתנות לכביסה במכונת הכביסה שלכם, 30-40 מעלות.<br></p><p>גובה הכבשה הקטנה הוא כ30 ס""מ.</p><p>גובה הכבשה הגדולה הוא כ40 ס""מ.</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;ניו-בורן;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1650429645.jpg;;;0.00;160.0;220.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/כבשה/p/234884337;234884337
כלב אקורדיון;"00034";;"<p>צביקה הוא ללא ספק הכלב הכי יפה בשכונה של ינה - עשוי כולו מחוטי אקריל ונסרג באהבה רבה!</p><p>קשה להישאר אדישים אל מול צביקוש היפיוף הזה, הצבעוניות שלו משמחת את כולם, האקורדיון שלו מצחיק את הילדים :)</p><p>צביקה הכלב ניתן לכביסה במכונת הכביסה שלכם, על 30-40 מעלות.</p><p>אורכו של צביקהל'ה מגיע לכ 60 ס""מ</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1745378981.jpg;;;0.00;280.0;320.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/כלב-אקורדיון/p/251362262;251362262
כלבלב;"00018";;"<p>נוסטלגיה זה כאן!</p><p>גדלנו על הסרט ברמיינסקי מוזיקנטי ובזכות ינה החיות האהובות עלינו חזרו לחיינו! וכעת הנכדים זוכים לשחק איתן:)</p><p>גם אם אתם לא מכירים את הסרט, יש סיכוי גבוהה שתתאהבו בכלבלב הכחלחל שלנו. יש לו את החיוך הכי מקסים ואוזניים שכיף ללטף :)</p><p>הכלבלב נסרג מחוטי אקריל סינטטיים, ניתן לכבס במכונת הכביסה הביתית על 30-40 מעלות</p><p>גובה הבובה הוא כ30 ס""מ</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1644050698.jpg;;;0.00;160.0;210.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/כלבלב/p/234339196;234339196
ליצן קטן שלי;"00039";;"<p>ליצן קטן שלי, אולי תרקוד איתי? אולי? אולי תרקוד איתי :)</p><p>ליצני הקטן שלי נולד לכבוד יום הולדת שנתיים של עידודו שלנו</p><p>בעידן הקורונה אני צריכה להמציא את עצמי מחדש, לחגוג מרחוק עם הנכדים..</p><p>אז הליצן כאן בשביל לשמח את כולם בתקופה הלא פשוטה הזו-</p><p>מבוגרים וילדים כאחד.</p><p><br></p><p>גובה הליצן הוא 45 ס""מ</p><p><strong>ליצני הקטן שלי סרוג מ100% חוטי כותנה, ניתן לכבס אותו ביד ב30 מעלות.</strong></p><p><br></p><p><u>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1951125936.jpg;;;0.00;180.0;220.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;ליצן קטן שלי;"ליצן קטן שלי, אולי תרקוד איתי? אולי? אולי תרקוד איתי :) ליצני הקטן שלי נולד לכבוד יום הולדת שנתיים של עידודו שלנו בעידן הקורונה אני צריכה להמציא את עצמי מחדש, לחגוג מרחוק עם הנכדים.. אז הליצן כאן בשביל לשמח את כולם בתקופה הלא פשוטה הזו- מבוגרים וילדים כאחד. גובה הליצן הוא 45 ס""מ ליצני הקטן שלי סרוג מ100% חוטי כותנה, ניתן לכבס אותו ביד ב30 מעלות. שימו לב: - התשלום בפייבוקס או מזומן - ינה סורגת את ...";https://store35000153.company.site#!/ליצן-קטן-שלי/p/288096406;288096406
מיקי מאוס;"00012";;"<p>את מיקי מאוס לא צריך להציג, כולכם מכירים את הפרזנטור של וולט דיסני :)</p><p>מיקי נסרג מ100% כותנה, ניתן לכבס אותו במכונת הכביסה על 30-40 מעלות</p><p>גובה הבובה הוא כ35 ס""מ</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1643925963.jpg;;;0.00;300.0;400.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/מיקי-מאוס/p/234269629;234269629
מלך האריות;"00008";;"<p>גם אצל ינה בסלון בין כל הבובות, אריק האריה הוא ללא ספק מלך החיות!</p><p>הוא מרשים, גדול, יפה, שומר על הבית וכולם יודעים שלא כדאי לעצבן אותו ;)</p><p>האריה נסרג מחוטי אקריל סינטטיים וניתן לכבס אותו במכונת הכביסה שלכם על 30-40 מעלות.</p><p>גובהו כ45 ס״מ</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1600777378.jpg;;;0.00;250.0;330.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/מלך-האריות/p/228372596;228372596
נוני הישנונית;"00025";;"<p>בובת שינה נעימה, צבעונית וחמודה! קלילה ונוחה לחיבוק :)</p><p>מחכה לילד.ה שיאהבו אותה וירדמו איתה!</p><p>המחיר כולל הקראת סיפור על ידי נוני לפני השינה כמובן :)</p><p>בובת השינה סרוגה מחוטי אקריל סינטיים, ניתנת לכביסה במכונת הכביסה, 30-40 מעלות</p><p>גובה הבובה הוא כ40 ס""מ, רוחב הבובה הוא כ40 ס""מ</p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ניו-בורן;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1650510455.jpg;;;0.00;190.0;270.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/נוני-הישנונית/p/235113558;235113558
סט נעלולים וכובע לתינוק;"00036";;;"עד 100 ש""ח";ניו-בורן;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1777990073.jpg;;;0.00;100.0;;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/סט-נעלולים-וכובע-לתינוק/p/258249236;258249236
